account_id,bank,flagged,synthetic
SYN-ACC-0001,SBI,false,true
SYN-ACC-0002,Axis,true,true
SYN-ACC-0003,HDFC,false,true
SYN-ACC-0004,Canara,false,true
SYN-ACC-0005,SBI,true,true
SYN-ACC-0006,Axis,true,true
SYN-ACC-0007,Canara,false,true
SYN-ACC-0008,Canara,true,true
SYN-ACC-0009,Axis,false,true
SYN-ACC-0010,SBI,true,true
SYN-ACC-0011,Axis,true,true
SYN-ACC-0012,KSCB,false,true
SYN-ACC-0013,SBI,false,true
SYN-ACC-0014,Union,false,true
SYN-ACC-0015,Canara,false,true
SYN-ACC-0016,Union,false,true
SYN-ACC-0017,Union,true,true
SYN-ACC-0018,SBI,true,true
SYN-ACC-0019,HDFC,false,true
SYN-ACC-0020,Union,false,true
SYN-ACC-0021,KSCB,false,true
SYN-ACC-0022,HDFC,false,true
SYN-ACC-0023,SBI,true,true
SYN-ACC-0024,SBI,true,true
SYN-ACC-0025,KSCB,false,true
SYN-ACC-0026,SBI,true,true
SYN-ACC-0027,KSCB,false,true
SYN-ACC-0028,SBI,true,true
SYN-ACC-0029,Union,false,true
SYN-ACC-0030,Union,false,true
SYN-ACC-0031,HDFC,true,true
SYN-ACC-0032,Union,true,true
SYN-ACC-0033,SBI,false,true
SYN-ACC-0034,Axis,false,true
SYN-ACC-0035,SBI,true,true
SYN-ACC-0036,KSCB,true,true
SYN-ACC-0037,KSCB,true,true
SYN-ACC-0038,SBI,true,true
SYN-ACC-0039,SBI,false,true
SYN-ACC-0040,Union,false,true
SYN-ACC-0041,Union,false,true
SYN-ACC-0042,HDFC,true,true
SYN-ACC-0043,SBI,false,true
SYN-ACC-0044,Canara,true,true
SYN-ACC-0045,Canara,false,true
SYN-ACC-0046,Canara,true,true
SYN-ACC-0047,HDFC,true,true
SYN-ACC-0048,Axis,true,true
SYN-ACC-0049,Canara,true,true
SYN-ACC-0050,HDFC,false,true
SYN-ACC-0051,Axis,false,true
SYN-ACC-0052,Axis,false,true
SYN-ACC-0053,Union,false,true
SYN-ACC-0054,KSCB,false,true
SYN-ACC-0055,HDFC,false,true
SYN-ACC-0056,Canara,true,true
SYN-ACC-0057,Union,true,true
SYN-ACC-0058,Axis,false,true
SYN-ACC-0059,HDFC,false,true
SYN-ACC-0060,HDFC,true,true
SYN-ACC-0061,HDFC,true,true
SYN-ACC-0062,Union,true,true
SYN-ACC-0063,Axis,false,true
SYN-ACC-0064,KSCB,false,true
SYN-ACC-0065,Canara,true,true
SYN-ACC-0066,Canara,true,true
SYN-ACC-0067,Axis,false,true
SYN-ACC-0068,SBI,false,true
SYN-ACC-0069,Union,false,true
SYN-ACC-0070,KSCB,true,true
SYN-ACC-0071,KSCB,false,true
SYN-ACC-0072,Axis,false,true
SYN-ACC-0073,SBI,false,true
SYN-ACC-0074,HDFC,true,true
SYN-ACC-0075,Axis,false,true
SYN-ACC-0076,SBI,false,true
SYN-ACC-0077,Axis,false,true
SYN-ACC-0078,SBI,false,true
SYN-ACC-0079,Axis,false,true
SYN-ACC-0080,SBI,true,true
SYN-ACC-0081,SBI,false,true
SYN-ACC-0082,Canara,true,true
SYN-ACC-0083,Canara,true,true
SYN-ACC-0084,SBI,true,true
SYN-ACC-0085,KSCB,true,true
SYN-ACC-0086,Axis,false,true
SYN-ACC-0087,HDFC,false,true
SYN-ACC-0088,HDFC,false,true
SYN-ACC-0089,Union,true,true
SYN-ACC-0090,Canara,false,true
