offender_id,name,age,gender,home_district,primary_mo,mo_tags,gang_id,synthetic
SYN-OFF-0001,Manoj Acharya,32,M,Bengaluru City,otp_fraud,otp_fraud,SYN-GANG-02,true
SYN-OFF-0002,Farhan Hegde,47,F,Bengaluru City,extortion,extortion,,true
SYN-OFF-0003,Naga Khan,42,M,Bengaluru Dist,otp_fraud,otp_fraud,SYN-GANG-08,true
SYN-OFF-0004,Yusuf Pujari,30,M,Bengaluru City,otp_fraud,otp_fraud,,true
SYN-OFF-0005,Ravi Murthy,23,M,Bengaluru Dist,extortion,extortion|vehicle_theft,,true
SYN-OFF-0006,Deepak Reddy,25,M,Dakshina Kannada,robbery_highway,robbery_highway|dacoity,,true
SYN-OFF-0007,Farhan Acharya,42,M,Mangaluru City,atm_fraud,atm_fraud,,true
SYN-OFF-0008,Farhan Hegde,36,M,Gadag,robbery_highway,robbery_highway,,true
SYN-OFF-0009,Yusuf Pujari,30,M,Raichur,otp_fraud,otp_fraud,,true
SYN-OFF-0010,Anand Patil,19,M,Bengaluru City,mobile_theft,mobile_theft|house_burglary,,true
SYN-OFF-0011,Deepak Gowda,47,M,Bengaluru City,dacoity,dacoity,,true
SYN-OFF-0012,Ravi Reddy,23,M,Bengaluru City,robbery_highway,robbery_highway|otp_fraud,,true
SYN-OFF-0013,Basava Reddy,30,F,Bengaluru City,extortion,extortion|counterfeit,,true
SYN-OFF-0014,Deepak Bhat,32,F,Bengaluru Dist,house_burglary,house_burglary,,true
SYN-OFF-0015,Santosh Kumar,36,M,Kalaburagi,cattle_theft,cattle_theft,,true
SYN-OFF-0016,Rahul Murthy,51,M,Bengaluru Dist,house_burglary,house_burglary,SYN-GANG-06,true
SYN-OFF-0017,Deepak Kulkarni,50,M,Bengaluru City,dacoity,dacoity,SYN-GANG-02,true
SYN-OFF-0018,Prakash Sharma,28,M,Chikkamagaluru,dacoity,dacoity,,true
SYN-OFF-0019,Santosh Kulkarni,55,M,Mandya,house_burglary,house_burglary|mobile_theft,,true
SYN-OFF-0020,Rahul Reddy,35,M,Koppal,cattle_theft,cattle_theft|dacoity,SYN-GANG-04,true
SYN-OFF-0021,Manoj Patil,24,M,Dharwad,vehicle_theft,vehicle_theft,,true
SYN-OFF-0022,Naveen Patil,22,M,Bengaluru City,cattle_theft,cattle_theft|extortion,SYN-GANG-01,true
SYN-OFF-0023,Rahul Singh,53,M,Raichur,extortion,extortion|investment_scam,SYN-GANG-08,true
SYN-OFF-0024,Ganesh Gowda,19,M,Bengaluru City,atm_fraud,atm_fraud|chain_snatching,,true
SYN-OFF-0025,Ganesh Gowda,24,F,Uttara Kannada,house_burglary,house_burglary|counterfeit,,true
SYN-OFF-0026,Rahul Kumar,46,M,Mangaluru City,otp_fraud,otp_fraud|dacoity,SYN-GANG-01,true
SYN-OFF-0027,Ganesh Joshi,45,M,Bengaluru City,house_burglary,house_burglary|robbery_highway,,true
SYN-OFF-0028,Manoj Khan,31,M,Vijayapur,vehicle_theft,vehicle_theft|house_burglary,,true
SYN-OFF-0029,Naga Shetty,24,M,Bengaluru Dist,atm_fraud,atm_fraud,SYN-GANG-07,true
SYN-OFF-0030,Mahesh Murthy,22,M,Bengaluru City,vehicle_theft,vehicle_theft|dacoity,,true
